,Africa Eastern and Southern
1960,21290586002.8823
1961,21808473824.6119
1962,23707015393.9183
1963,28210036878.0973
1964,26118787467.4775
1965,29682172751.4667
1966,32239121547.1534
1967,33514552047.4493
1968,36521482936.948
1969,41828336212.6461
1970,44862605392.833
1971,49478916698.2536
1972,53514844533.891
1973,69600788110.6735
1974,86057777550.911
1975,91649152686.8653
1976,91124551925.9133
1977,103415844082.068
1978,115345041829.637
1979,134671404724.684
1980,170654335897.028
1981,174387007968.082
1982,167266313060.902
1983,174918045686.543
1984,160133966253.813
1985,136297338029.871
1986,152518294683.987
1987,186144649622.386
1988,204139844556.652
1989,217538592168.933
1990,253224041095.044
1991,273402805408.616
1992,238255441287.563
1993,236526919099.008
1994,240120093424.591
1995,269636854385.978
1996,268413689898.383
1997,282184986870.201
1998,265814093139.907
1999,262172198957.447
2000,283925424524.95
2001,258818573322.586
2002,264869812959.289
2003,352658503930.87
2004,438833793854.258
2005,512211130671.035
2006,575921416503.73
2007,661179291210.003
2008,708286928848.111
2009,719216656140.903
2010,860478348236.464
2011,964418457187.791
2012,973043454994.634
2013,983937046710.893
2014,1003678868706.97
2015,924252536256.503
2016,882355055412.759
2017,1020647235171.22
2018,991022252916.702
2019,997534042075.187
2020,921645942921.888
2021,1082095608968.23
