,Africa Western and Central
1960,10404135069.15
1961,11127894641.0191
1962,11943187848.3043
1963,12676330764.6917
1964,13838369295.2313
1965,14862225759.9135
1966,15832591204.0611
1967,14426038229.7748
1968,14880349280.3199
1969,16882092549.4749
1970,23504605475.6438
1971,20832817218.3939
1972,25264953765.762
1973,31273819025.9673
1974,44214484996.8734
1975,51444731784.0348
1976,62129390374.9031
1977,65315008068.1014
1978,71199708191.9944
1979,88628401268.6832
1980,112031308653.857
1981,211003492000.188
1982,187163726212.803
1983,138115204947.351
1984,114262670303.605
1985,116507282627.195
1986,107497542341.418
1987,110321770123.657
1988,108943464548.552
1989,101768783075.2
1990,121802125421.925
1991,117457060715.759
1992,118282253152.158
1993,98826369836.0256
1994,86281743752.6536
1995,108221319966.439
1996,125763022907.643
1997,127063922266.802
1998,130106822586.563
1999,137521000392.092
2000,140410259302.465
2001,148012829262.279
2002,176938027370.015
2003,204644531317.323
2004,254092555393.797
2005,310557534109.235
2006,393305207803.064
2007,461791382953.671
2008,566480827442.145
2009,507043593426.246
2010,591595778367.133
2011,670983030296.122
2012,727570384034.451
2013,820792700049.506
2014,864990453538.518
2015,760734474152.243
2016,690546384903.295
2017,683748746978.112
2018,741689925173.427
2019,794543045900.11
2020,784445725634.786
2021,835808395909.477
