,Albania
1984,1857338011.85488
1985,1897050133.42015
1986,2097326250.0
1987,2080796250.0
1988,2051236250.0
1989,2253090000.0
1990,2028553750.0
1991,1099559027.77778
1992,652174990.837304
1993,1185315468.46295
1994,1880951520.3972
1995,2392764853.42107
1996,3199641335.93751
1997,2258513974.0968
1998,2545964540.88383
1999,3212121650.97755
2000,3480355258.04122
2001,3922100793.5403
2002,4348068242.19512
2003,5611496257.14231
2004,7184685781.51876
2005,8052073539.38058
2006,8896072918.9814
2007,10677324144.4289
2008,12881353507.8539
2009,12044208085.864
2010,11926922828.9911
2011,12890764531.3284
2012,12319830437.3467
2013,12776220507.0162
2014,13228147516.1168
2015,11386850129.8411
2016,11861199830.8396
2017,13019689336.6919
2018,15156432309.8977
2019,15401830754.0773
2020,15131866270.5936
2021,18260043499.8068
