,Algeria
1960,2723593384.78054
1961,2434727329.809
1962,2001428328.37091
1963,2702960118.28806
1964,2909292864.23204
1965,3136258896.9233
1966,3039834558.74906
1967,3370843065.76735
1968,3852115816.97758
1969,4257218772.15369
1970,4863487492.65763
1971,5077222366.97472
1972,6766766610.86932
1973,8707847924.29022
1974,13210029612.2659
1975,15557934268.4965
1976,17728347374.994
1977,20971901273.271
1978,26364491313.4471
1979,33243422157.6311
1980,42346380830.7708
1981,44348672667.8715
1982,45207088715.6483
1983,48801369800.3675
1984,53698278905.9678
1985,57937868670.1937
1986,63692238160.0493
1987,66746396416.2732
1988,59089067187.3943
1989,55634414465.2104
1990,62048562947.2509
1991,45715614559.7064
1992,48003078388.5401
1993,49945599428.5812
1994,42543178042.4148
1995,41764315330.4366
1996,46941582519.4661
1997,48177612042.1507
1998,48187747528.899
1999,48640653469.3025
2000,54790392746.1939
2001,54744712814.8676
2002,56760355865.0082
2003,67863828412.6882
2004,85332581188.6107
2005,103198223709.439
2006,117027307540.89
2007,134977082623.78
2008,171000699876.747
2009,137211035770.034
2010,161207270185.25
2011,200013052199.2
2012,209058991952.125
2013,209755003250.664
2014,213810024944.464
2015,165979279263.174
2016,160034163871.455
2017,170097014589.134
2018,174910878623.049
2019,171767403748.19
2020,145009181490.62
2021,167983141738.311
