,Armenia
1990,2256838857.60997
1991,2069870129.87013
1992,1272835453.42634
1993,1201312829.27524
1994,1315158636.67553
1995,1468317435.20148
1996,1596968946.23708
1997,1639492444.76152
1998,1893726437.26462
1999,1845482173.02732
2000,1911563668.85006
2001,2118467913.37873
2002,2376335048.39976
2003,2807061008.69084
2004,3576615240.41616
2005,4900469950.09033
2006,6384451606.1421
2007,9206301700.39619
2008,11662040713.8753
2009,8647936747.98704
2010,9260284937.79781
2011,10142111334.4961
2012,10619320048.5857
2013,11121465767.4067
2014,11609512939.7542
2015,10553337672.9872
2016,10546135160.031
2017,11527458565.7334
2018,12457941907.0333
2019,13619291361.2814
2020,12641209802.112
2021,13861183873.5931
