,Aruba
1986,405586592.178771
1987,487709497.206704
1988,596648044.692737
1989,695530726.256983
1990,764804469.273743
1991,872067039.106145
1992,958659217.877095
1993,1083240223.46369
1994,1245810055.86592
1995,1320670391.06145
1996,1379888268.15642
1997,1531843575.41899
1998,1665363128.49162
1999,1722905027.93296
2000,1873184357.5419
2001,1896648044.69274
2002,1962011173.18436
2003,2044134078.21229
2004,2254748603.35196
2005,2359776536.31285
2006,2469832402.23464
2007,2677653631.28492
2008,2843016759.77654
2009,2553631284.9162
2010,2453631284.9162
2011,2637988826.81564
2012,2615083798.88268
2013,2727932960.89385
2014,2791061452.51397
2015,2963128491.62011
2016,2983798882.68156
2017,3092178770.94972
2018,3202234636.87151
2019,3310055865.92179
2020,2496648044.69274
