,Azerbaijan
1990,8858006035.91566
1991,8792365810.5094
1992,446305555.555556
1993,1570000000.0
1994,1193312101.91083
1995,2417355840.03625
1996,3176333837.03359
1997,3962238113.16021
1998,4446368570.6901
1999,4581432038.83495
2000,5272798390.70183
2001,5707720390.8515
2002,6235856819.58445
2003,7276753894.71541
2004,8680370408.05943
2005,13245716099.0057
2006,20982986344.3027
2007,33050343782.7759
2008,48852482960.0779
2009,44291490420.5026
2010,52909294791.9262
2011,65951627200.2026
2012,69683935845.2139
2013,74164435946.4627
2014,75244294275.1498
2015,53074370486.0433
2016,37867518957.1975
2017,40865558912.3867
2018,47112941176.4706
2019,48174235294.1176
2020,42693000000.0
2021,54622176470.5882
