,"Bahamas, The"
1960,169803921.568627
1961,190098039.215686
1962,212254901.960784
1963,237745098.039216
1964,266666666.666667
1965,300392156.862745
1966,340000000.0
1967,390196078.431373
1968,444901960.784314
1969,528137254.901961
1970,538423153.692615
1971,573400000.0
1972,590900000.0
1973,670900000.0
1974,632400000.0
1975,596200000.0
1976,642100000.0
1977,713000000.0
1978,832400000.0
1979,1139800100.0
1980,1335300000.0
1981,1426500000.0
1982,1578300000.0
1983,1732800000.0
1984,2041100000.0
1985,2320699900.0
1986,2472500000.0
1987,2713999900.0
1988,2817900000.0
1989,3062000000.0
1990,3166000000.0
1991,3111160000.0
1992,3109000000.0
1993,3092000000.0
1994,3259000000.0
1995,3429000000.0
1996,3609000000.0
1997,6332360000.0
1998,6833220000.0
1999,7683870000.0
2000,8076470000.0
2001,8317830000.0
2002,8881160000.0
2003,8870090000.0
2004,9055290000.0
2005,9836200000.0
2006,10167250000.0
2007,10618340000.0
2008,10526000000.0
2009,9981960000.0
2010,10095760000.0
2011,10070450000.0
2012,10720500000.0
2013,10562800000.0
2014,11176100000.0
2015,11861900000.0
2016,11834600000.0
2017,12357600000.0
2018,12755800000.0
2019,13192800000.0
2020,9699500000.0
2021,11208600000.0
