,Barbados
1974,311809337.473213
1975,402178605.019554
1976,435911268.58968
1977,495097667.929041
1978,552883707.055138
1979,670362452.145379
1980,1012280614.52792
1981,1114204743.20091
1982,1163923830.35847
1983,1236016506.73694
1984,1346890071.09829
1985,1409536120.91682
1986,1547755183.21484
1987,1704370307.76115
1988,1812757917.76463
1989,2006165166.80754
1990,2012131457.26644
1991,2020583702.08323
1992,1957000000.0
1993,2063342117.03873
1994,2151344901.30761
1995,2216974096.35559
1996,2363645403.47039
1997,2498384129.66738
1998,2817083478.34734
1999,2951822204.54432
2000,3059500000.0
2001,3054500000.0
2002,3106500000.0
2003,3209500000.0
2004,3444500000.0
2005,3819500000.0
2006,4217450802.54938
2007,4674007452.49163
2008,4784925079.03312
2009,4465657314.64407
2010,4529928302.16747
2011,4657699461.45637
2012,4610095997.77104
2013,4677248301.89959
2014,4696344341.64326
2015,4724691212.50593
2016,4832811755.56467
2017,4981588899.82409
2018,5097283213.13965
2019,5304164323.2532
2020,4689534961.75956
2021,4900800000.0
