,Belize
1960,28071888.5622288
1961,29964370.7125857
1962,31856922.8615428
1963,33749405.0118998
1964,36193826.1234775
1965,40069930.0699301
1966,44405594.4055944
1967,47379310.3448276
1968,44910179.6407186
1969,47305389.2215569
1970,53233532.9341317
1971,59207317.0731707
1972,66062500.0
1973,78343558.2822086
1974,103216374.269006
1975,118066298.342541
1976,96905829.5964126
1977,117650000.0
1978,136300000.0
1979,151800000.0
1980,197938222.43
1981,196089854.655
1982,182206326.985
1983,192103185.955
1984,214381949.02
1985,212643742.665
1986,231638320.535
1987,281082558.585
1988,320093360.27
1989,369133890.705
1990,412086445.49
1991,444720750.0
1992,518559700.0
1993,560205300.0
1994,581269550.0
1995,620422500.0
1996,641660000.0
1997,654582900.0
1998,689140000.0
1999,732732350.0
2000,832072450.0
2001,871590369.32848
2002,932292858.88771
2003,990727709.549365
2004,1057653620.03465
2005,1111453823.62023
2006,1211148304.51368
2007,1283112549.99844
2008,1352588867.72777
2009,1320605471.63149
2010,1387925188.49004
2011,1466822039.4102
2012,1531348953.18392
2013,1581844936.42351
2014,1676406801.54095
2015,1734320479.1395
2016,1796928936.71505
2017,1844906692.53913
2018,1887465218.48204
2019,1945250235.57603
2020,1585631670.3461
2021,1789923264.03
