,Bermuda
1960,84466654.0769119
1961,89249986.6972895
1962,94149985.9669446
1963,96366652.3032171
1964,107566650.633857
1965,114339048.965166
1966,134173373.785653
1967,155102984.627334
1968,150000000.0
1969,164900000.0
1970,186300000.0
1971,211100000.0
1972,235400000.0
1973,269500000.0
1974,312600000.0
1975,345000000.0
1976,386300000.0
1977,447000000.0
1978,475800000.0
1979,517200000.0
1980,613299968.0
1981,739100032.0
1982,785500032.0
1983,889400000.0
1984,985699968.0
1985,1039500032.0
1986,1173500032.0
1987,1296499968.0
1988,1415100032.0
1989,1501500032.0
1990,1592400000.0
1991,1634900000.0
1992,1679900000.0
1993,1820359900.0
1994,1867160100.0
1995,2030750000.0
1996,2695390000.0
1997,2932827000.0
1998,3130748000.0
1999,3324433000.0
2000,3480219000.0
2001,3680483000.0
2002,3937228000.0
2003,4186525000.0
2004,4484703000.0
2005,4868136000.0
2006,6144000000.0
2007,6767000000.0
2008,6980000000.0
2009,6656000000.0
2010,6634526000.0
2011,6312691000.0
2012,6378188000.0
2013,6465756000.0
2014,6413988000.0
2015,6654541000.0
2016,6899911000.0
2017,7142316000.0
2018,7225977000.0
2019,7423465000.0
2020,6881662000.0
2021,7080900000.0
