,Bhutan
1980,128717410.916031
1981,139150441.30485
1982,141366534.471459
1983,156687192.069307
1984,160459970.536972
1985,163272314.834276
1986,191230747.105472
1987,242770861.58179
1988,272241005.229885
1989,264725206.950092
1990,287658184.003427
1991,240319995.602463
1992,240215763.888889
1993,225998091.177435
1994,258985597.704814
1995,290464801.110083
1996,303435517.922664
1997,352260952.905536
1998,363452787.203102
1999,399268801.672085
2000,424464089.897641
2001,461444513.66815
2002,520849551.532606
2003,604041957.921855
2004,682523857.01677
2005,796938120.181406
2006,874989895.601121
2007,1168308516.63301
2008,1227808790.6733
2009,1234014291.82342
2010,1547991317.81183
2011,1777101316.67756
2012,1781281281.57912
2013,1756215665.09323
2014,1907090813.45906
2015,2003598212.99135
2016,2158972129.00307
2017,2450364928.07302
2018,2446866404.93058
2019,2535657069.05537
2020,2315436303.29988
