,Bosnia and Herzegovina
1994,1255802469.1358
1995,1866572953.73665
1996,2786045321.63743
1997,3671816504.23851
1998,4116699437.4041
1999,4685733115.46841
2000,5567405605.27555
2001,5800774707.17423
2002,6728771318.57555
2003,8498560877.09175
2004,10157553968.254
2005,11222953328.6704
2006,12864610865.2428
2007,15778767389.7831
2008,19112739364.8892
2009,17613836494.0692
2010,17176781065.8902
2011,18644723860.9709
2012,17221192487.0296
2013,18172335776.3301
2014,18560861397.5577
2015,16219819343.5214
2016,16914287593.2899
2017,18079076426.8667
2018,20177422311.0773
2019,20201323282.5451
2020,19955120004.6604
2021,22571512867.2816
