,Botswana
1960,30412308.9864012
1961,32902336.644746
1962,35643207.6265246
1963,38091150.566196
1964,41613969.0506064
1965,45790869.7473126
1966,51464435.1464435
1967,58646443.5146444
1968,66248256.6248257
1969,77356914.0788191
1970,96245114.4611949
1971,127456485.120719
1972,164466873.706004
1973,244129088.027662
1974,306033848.417954
1975,355172413.793103
1976,372010119.595216
1977,451603325.415677
1978,590376720.598889
1979,819877300.613497
1980,1060923829.13021
1981,1073861599.13948
1982,1014907254.54016
1983,1172258182.14969
1984,1240796364.75662
1985,1114764007.14811
1986,1392634771.9653
1987,1965274882.36345
1988,2644536804.11244
1989,3083800684.89751
1990,3790567051.86778
1991,3942792837.35655
1992,4146513722.33019
1993,4160086253.1468
1994,4259330999.03151
1995,4730611067.02258
1996,4847752842.78924
1997,5020214747.45261
1998,4790458837.17078
1999,5484257417.17844
2000,5788329609.15755
2001,5489608299.66445
2002,5438857106.73536
2003,7511582173.37724
2004,8957467706.5354
2005,9918907108.09702
2006,10137883299.3156
2007,10939053365.4786
2008,10945070441.9283
2009,10267133177.7334
2010,12786654498.3514
2011,15351972361.1477
2012,14380004175.1194
2013,14901750991.2012
2014,15654660710.108
2015,13578754072.4652
2016,15082578064.8002
2017,16088437675.1648
2018,16914245098.0392
2019,16695925027.1944
2020,14930072799.0084
2021,17613846472.9916
