,Brazil
1960,17030465539.3906
1961,17275940449.3837
1962,19231747851.5332
1963,23287712878.2002
1964,20963733694.9749
1965,22465522884.0988
1966,28283323733.1114
1967,31086389194.961
1968,33930457425.2613
1969,37171640818.5863
1970,42327664793.6934
1971,48869830901.7878
1972,58434858374.8696
1973,83592275862.9982
1974,109794519727.538
1975,129203555238.827
1976,153168949208.207
1977,176344101401.941
1978,200278646123.581
1979,221338204480.222
1980,237393489892.637
1981,258015174748.648
1982,271314113768.417
1983,189656506321.431
1984,188339974086.58
1985,176123719326.593
1986,215878631802.78
1987,237517984427.806
1988,258816125587.505
1989,347028139590.227
1990,390725626002.866
1991,342609227209.645
1992,328187944300.908
1993,368295777770.079
1994,525369851353.742
1995,769333330368.987
1996,850426433004.077
1997,883206452795.124
1998,863711007325.493
1999,599642075004.471
2000,655448188259.351
2001,559983704094.17
2002,509795270685.19
2003,558233724164.711
2004,669289321944.516
2005,891633826603.377
2006,1107626711406.63
2007,1397114247331.17
2008,1695855391810.9
2009,1666996294372.87
2010,2208838108577.09
2011,2616156606666.62
2012,2465228293894.01
2013,2472819362216.69
2014,2456043766028.73
2015,1802211999538.68
2016,1795693265810.23
2017,2063514688761.98
2018,1916933708381.89
2019,1873288158977.23
2020,1448565936739.56
2021,1608981220812.2
