,Bulgaria
1980,19839230769.2308
1981,19870000000.0
1982,19342000000.0
1983,16563666666.6667
1984,17594944444.4444
1985,17155421052.6316
1986,20249294117.6471
1987,28101000000.0
1988,22555941176.4706
1989,21988444444.4444
1990,20632090909.0909
1991,10943548387.0968
1992,10350515463.9175
1993,10829710144.9275
1994,9697416974.16974
1995,18983303571.4286
1996,12294221472.7375
1997,11315986087.1633
1998,15030695296.5235
1999,13627323284.5405
2000,13245833843.5454
2001,14183497963.1071
2002,16402846413.0958
2003,21144983551.6823
2004,26157894736.8421
2005,29869283400.0381
2006,34379808888.6039
2007,44405101469.5591
2008,54438966419.8639
2009,52023504656.2878
2010,50682061053.2016
2011,57678241023.818
2012,54300857424.4415
2013,55810138436.4821
2014,57082011260.3446
2015,50781996712.7635
2016,53953897624.4344
2017,59199447421.4924
2018,66363422450.2112
2019,68915416141.9576
2020,69889347433.4324
2021,80271119426.1076
