,Burundi
1960,195999990.0
1961,202999992.0
1962,213500006.0
1963,232749998.0
1964,260750008.0
1965,158994962.962963
1966,165444571.428571
1967,178297142.857143
1968,183200000.0
1969,190205714.285714
1970,242732571.428571
1971,252842285.714286
1972,246804571.428571
1973,304339839.552146
1974,345263492.063492
1975,420986666.666667
1976,448412753.623188
1977,547535555.555556
1978,610225555.555556
1979,782496666.666667
1980,919726666.666667
1981,969046666.666667
1982,1013222222.22222
1983,1082926304.46477
1984,987143931.166987
1985,1149979285.77347
1986,1201725497.06578
1987,1131466494.01101
1988,1082403219.48787
1989,1113924130.41149
1990,1132101252.51817
1991,1167398478.3459
1992,1083037670.60484
1993,938632612.026359
1994,925030590.153683
1995,1000428393.88528
1996,869033856.317093
1997,972896267.915425
1998,893770806.077641
1999,808077223.365746
2000,870486065.883137
2001,876794723.068586
2002,825394490.159111
2003,784654423.620476
2004,915257323.3961
2005,1117113045.65222
2006,1273375020.26862
2007,1356199364.85882
2008,1611835901.9063
2009,1781455092.07114
2010,2032135246.50004
2011,2235820867.82743
2012,2333341374.89657
2013,2451606684.31708
2014,2705783272.07443
2015,3104003611.42957
2016,2639321196.46528
2017,2712324087.2789
2018,2660123624.27729
2019,2581268125.78917
2020,2780510624.64184
2021,2902029385.82592
