,Cameroon
1960,614206071.002235
1961,652777613.643638
1962,694247725.537204
1963,718320701.389784
1964,776650126.190072
1965,814083378.458171
1966,851112662.733069
1967,936175404.642829
1968,1046191192.44383
1969,1100551378.55506
1970,1151217146.98569
1971,1236941200.95222
1972,1498252050.17228
1973,1901393216.00149
1974,2157415245.73471
1975,2857037371.05886
1976,2898089929.08573
1977,3394663844.42834
1978,4662851756.59046
1979,5919004206.90706
1980,6674567625.0807
1981,6610937473.20425
1982,6611255018.23915
1983,6870200658.94097
1984,7311937457.41855
1985,8544809794.26305
1986,11857056336.0312
1987,13049658331.1317
1988,12236058143.0406
1989,11012566160.5043
1990,12314482085.0878
1991,11840192674.1246
1992,12071775380.6503
1993,16181813512.4483
1994,8902446188.0456
1995,10864773036.8363
1996,11093539497.029
1997,10789457915.0457
1998,11298144511.6364
1999,11565827385.6884
2000,10566578952.7857
2001,10953485244.4239
2002,12417251815.8801
2003,15970315751.0277
2004,18826215278.057
2005,19509850837.2745
2006,20910513974.6215
2007,23928251333.7444
2008,27715144580.2691
2009,27932971683.4215
2010,27507499709.071
2011,30630912184.7789
2012,30155064574.0734
2013,33728622819.0912
2014,36386546917.6861
2015,32210232911.6626
2016,33814337900.2831
2017,36098550141.5897
2018,39973839064.6084
2019,39670977332.7348
2020,40804449726.0184
2021,45238613479.8308
