,Central African Republic
1960,112155598.949571
1961,123134584.467673
1962,124482748.937917
1963,129379097.888958
1964,142025069.461676
1965,150574816.300764
1966,157930041.875883
1967,163820538.867947
1968,191767436.956884
1969,188039191.323608
1970,189106554.521277
1971,201450768.367553
1972,230317908.038643
1973,271183061.359635
1974,281398668.160613
1975,378660016.265936
1976,451152449.984411
1977,507298120.68315
1978,610578523.761178
1979,700764892.704831
1980,797048028.773247
1981,694803502.722356
1982,748312283.726758
1983,658679394.907969
1984,637820620.670195
1985,864849765.059664
1986,1122265026.38274
1987,1200991825.95398
1988,1264899368.20165
1989,1233930277.04922
1990,1440711395.67069
1991,1377375030.52921
1992,1411917558.45855
1993,1278781166.72188
1994,851174350.649409
1995,1115389731.79119
1996,1007791186.20106
1997,937741468.029676
1998,967338348.658314
1999,999477510.686632
2000,916777282.651168
2001,932648604.420575
2002,996068145.608021
2003,1142315522.1989
2004,1272360516.62022
2005,1337894379.62649
2006,1461859762.62791
2007,1699811293.2576
2008,1993407886.56402
2009,2067381663.75378
2010,2142591375.85053
2011,2437982839.63072
2012,2510126699.05356
2013,1691544192.38242
2014,1894813504.52945
2015,1695825708.45604
2016,1825018190.85071
2017,2072349974.15272
2018,2220978978.17342
2019,2221301400.72468
2020,2326720920.59223
2021,2516498299.01212
