,Central Europe and the Baltics
1990,256335875977.442
1991,242728591902.057
1992,259967235199.875
1993,274115786150.971
1994,310946964074.107
1995,393352948423.094
1996,416122304768.619
1997,410087083944.209
1998,448799835834.191
1999,434972267340.216
2000,428307303232.491
2001,468825006329.801
2002,528392950952.861
2003,634139360251.065
2004,763216404613.204
2005,886849878955.78
2006,1002925866071.31
2007,1266805604460.73
2008,1532956064060.26
2009,1290896340202.07
2010,1318170441878.33
2011,1449339068443.49
2012,1353315149256.49
2013,1422763976505.68
2014,1465927584533.31
2015,1293063507844.1
2016,1321561802163.9
2017,1464532904458.85
2018,1645463203193.69
2019,1673863310975.42
2020,1654916154373.08
2021,1887902464087.12
