,Chile
1960,4110000000.0
1961,4609727272.72727
1962,5416272727.27273
1963,5668187500.0
1964,5982347826.08696
1965,6026593750.0
1966,7072641025.64103
1967,7013196078.43137
1968,7167086956.52174
1969,8377093023.25581
1970,9126309734.51328
1971,10884114754.0984
1972,11853817307.6923
1973,16836261173.1844
1974,16210404183.5358
1975,7622217352.34216
1976,10341925249.0421
1977,13962893421.5413
1978,15989933708.1491
1979,21803696985.2349
1980,29036709871.7949
1981,34509878043.5897
1982,25325893205.657
1983,20355959237.2128
1984,19622527479.6913
1985,17702885393.5099
1986,18891048818.7425
1987,22255407684.6999
1988,26040229793.0697
1989,29885685142.9107
1990,33113887818.957
1991,37834793730.3133
1992,45964327558.8836
1993,49297773130.1185
1994,57008425295.8256
1995,73447063319.3034
1996,78574385335.5811
1997,85728899954.449
1998,81995304456.1038
1999,75596103237.1555
2000,78249883995.6255
2001,71517080040.6338
2002,70294892400.0639
2003,76507577234.5965
2004,99079230169.6389
2005,122314960843.922
2006,153840051814.059
2007,172565850839.158
2008,179663403196.985
2009,171412642047.328
2010,217105420016.533
2011,251224856981.294
2012,267175872540.066
2013,277239461340.404
2014,259405202008.001
2015,242496649874.236
2016,249298719723.108
2017,276364933679.626
2018,295402652037.155
2019,278584733103.01
2020,252727193710.018
2021,317058508651.76
