,Costa Rica
1960,507513829.994855
1961,490325181.614275
1962,479180824.348506
1963,511902136.809973
1964,542578367.242598
1965,592981162.264151
1966,647305630.188679
1967,699456618.867925
1968,773841494.339623
1969,853630203.773585
1970,984830158.490566
1971,1077152902.29104
1972,1238251695.55388
1973,1528916185.23199
1974,1666544754.09836
1975,1960863465.5776
1976,2412555425.90432
1977,3072427012.83547
1978,3523208809.80163
1979,4035519323.22054
1980,4831447001.16686
1981,2623807074.2948
1982,2606621255.01581
1983,3146770103.81027
1984,3660476458.8718
1985,3919203960.39604
1986,4418983870.96774
1987,4532952047.15628
1988,4614629898.40348
1989,5251025767.47627
1990,5711687786.75989
1991,7196276092.461
1992,8564044017.26908
1993,9582866263.11706
1994,10486784804.7995
1995,11578594259.8675
1996,11678424507.2457
1997,12614602382.2012
1998,13684255946.5765
1999,14254866281.1537
2000,15013629658.6521
2001,15976174336.9721
2002,16578820687.2881
2003,17271760506.9483
2004,18610594846.2083
2005,20040642476.9817
2006,22715540324.3032
2007,26884700345.0342
2008,30801744881.0001
2009,30745712006.5307
2010,37658614803.2775
2011,42762617081.6522
2012,47231651862.8399
2013,50949672205.9168
2014,52016408950.8936
2015,56441917652.9812
2016,58847016044.7363
2017,60516043590.1832
2018,62420165099.7231
2019,64417670082.6127
2020,62158002233.0279
2021,64282438666.739
