,Cote d'Ivoire
1960,546203561.571989
1961,618245639.221382
1962,645284344.684118
1963,761047045.830402
1964,921063266.445521
1965,919771356.426097
1966,1024103034.29198
1967,1082922892.15202
1968,1281281245.67032
1969,1361360157.26999
1970,1455482990.24143
1971,1584128262.08933
1972,1849400599.77558
1973,2508421234.8557
1974,3070151901.06383
1975,3893839190.26806
1976,4662053707.7763
1977,6265067857.86534
1978,7900524897.8644
1979,9142935857.94766
1980,10175615441.8127
1981,8432588483.85263
1982,7567109766.61129
1983,6838185418.53642
1984,6841638714.5454
1985,6977650069.33578
1986,9158302205.36237
1987,10087653189.3287
1988,10255170459.986
1989,9757410614.0812
1990,10795850106.9547
1991,10492628915.4927
1992,11152971316.074
1993,11045759468.9412
1994,8313557450.25213
1995,11000146839.497
1996,18071153890.3932
1997,18047557171.7483
1998,19619653924.2697
1999,18870992455.7304
2000,16577533355.4395
2001,16810536883.7177
2002,18054384023.1093
2003,21251755293.9537
2004,23510577108.2304
2005,24036917016.59
2006,25281414472.9891
2007,28760092034.4723
2008,34078243426.009
2009,33886814907.0346
2010,34936305296.9689
2011,36693712824.8232
2012,36302305578.2487
2013,42760237561.4396
2014,48843008580.3288
2015,45814637971.4745
2016,47964234560.0514
2017,51588158717.5348
2018,58011466450.8643
2019,58539424929.7248
2020,61348579465.1017
2021,69764827467.4423
