,Cuba
1970,5693005200.0
1971,6914658400.0
1972,8135150891.92025
1973,9987709650.18094
1974,11405957317.0732
1975,13027415243.9024
1976,13789579902.5579
1977,14206158674.6988
1978,17844705324.6753
1979,19584443287.6712
1980,19912889861.1111
1981,20150254096.3855
1982,20953510235.2941
1983,22204940512.2235
1984,24039383608.4235
1985,22920490774.102
1986,24226574634.0293
1987,25213935012.0819
1988,27458999472.2955
1989,27023468665.8977
1990,28645436569.1489
1991,24316556025.6585
1992,22085858243.2432
1993,22367254864.8649
1994,28448326756.7568
1995,30429803651.2192
1996,25017368700.0
1997,25365908100.0
1998,25736331200.0
1999,28364615200.0
2000,30565400000.0
2001,31682400000.0
2002,33590500000.0
2003,35901200000.0
2004,38203000000.0
2005,42643836100.0
2006,48835925925.9259
2007,54262870370.3704
2008,56302129629.6296
2009,57481481481.4815
2010,59562962962.963
2011,68990000000.0
2012,73141000000.0
2013,77148000000.0
2014,80656000000.0
2015,87133000000.0
2016,91370000000.0
2017,96851000000.0
2018,100050000000.0
2019,103428000000.0
2020,107352000000.0
