,Early-demographic dividend
1960,157942583564.354
1961,158912671963.007
1962,163742395743.514
1963,173711880145.349
1964,198974976220.178
1965,215522749953.109
1966,212813847831.582
1967,223658650109.687
1968,242317845044.991
1969,270383006184.382
1970,286037277941.978
1971,309661650920.072
1972,338527878781.294
1973,432597765717.981
1974,605153111318.558
1975,650499073611.147
1976,710183421954.391
1977,793547382673.068
1978,880966379615.836
1979,1070914081150.61
1980,1332415855580.08
1981,1488762605456.05
1982,1416644008310.27
1983,1426956546461.02
1984,1416001030005.56
1985,1454906885691.68
1986,1467334641377.79
1987,1478284023900.09
1988,1551994173736.85
1989,1581993283662.54
1990,1856791237218.31
1991,1963094254874.6
1992,2158940753791.78
1993,2371814641073.34
1994,2493618516817.29
1995,2556648437455.65
1996,2787832707717.87
1997,2980538627134.16
1998,2938537038141.17
1999,3108671962612.56
2000,3382509209554.22
2001,3352884328613.49
2002,3259977941916.56
2003,3628231967387.68
2004,4224920040436.25
2005,4927148941290.27
2006,5634329757389.71
2007,6667108188269.8
2008,7520052429152.87
2009,7257907613909.0
2010,8800870240503.56
2011,9720073461241.5
2012,10153495508194.2
2013,10295575316213.0
2014,10648316212896.6
2015,10129016824229.1
2016,10454393062395.3
2017,11291259618576.3
2018,11401133321555.3
2019,11643791832112.3
2020,10841710191637.6
2021,12618119605215.0
