,"Egypt, Arab Rep."
1965,4948667540.41066
1966,5278005611.91453
1967,5605484298.98275
1968,5932242990.65421
1969,6524455205.81114
1970,8042200452.1477
1971,8609283346.08518
1972,9299638055.84281
1973,10098534613.4411
1974,9228963224.60004
1975,11632178868.9171
1976,13315988083.4161
1977,14400806875.9867
1978,14811704063.0685
1979,18020571428.5714
1980,21669908176.3889
1981,22136081081.0811
1982,27655172413.7931
1983,30966239813.7369
1984,33971188991.6147
1985,39053502251.0732
1986,41253507951.3564
1987,40455616653.5742
1988,34980124929.0176
1989,39756299049.9793
1990,42978914311.3504
1991,37387836490.5284
1992,41855986519.4235
1993,46578631452.581
1994,51897983392.6453
1995,60159245060.4541
1996,67629716981.1321
1997,78436578171.0914
1998,84828807556.0803
1999,90710704806.8416
2000,99838543960.0763
2001,96684636118.5984
2002,85146067415.7303
2003,80288461538.4615
2004,78782467532.4675
2005,89600665557.4043
2006,107426086956.522
2007,130437828371.278
2008,162818181818.182
2009,189147005444.646
2010,218983666061.706
2011,235989672977.625
2012,279116666666.667
2013,288434108527.132
2014,305595408895.265
2015,329366576819.407
2016,332441717791.411
2017,235733695652.174
2018,249712999437.254
2019,303080865603.645
2020,365252651278.852
2021,404142766093.053
