,El Salvador
1965,877720000.0
1966,929520000.0
1967,976200000.0
1968,1009760100.0
1969,1049400000.0
1970,1132920000.0
1971,1186120000.0
1972,1263720000.0
1973,1442320000.0
1974,1665880000.0
1975,1884120100.0
1976,2328280100.0
1977,2941640100.0
1978,3127960000.0
1979,3463639900.0
1980,3573959900.0
1981,3437200200.0
1982,3399189100.0
1983,3506347800.0
1984,3661683400.0
1985,3800368600.0
1986,3771663200.0
1987,3958045800.0
1988,4189880000.0
1989,4372215300.0
1990,4817542204.0
1991,5252342400.0
1992,5813399300.0
1993,6680269200.0
1994,7679384000.0
1995,8921947100.0
1996,9586327800.0
1997,10221705900.0
1998,10936669900.0
1999,11284197000.0
2000,11784927700.0
2001,12282533600.0
2002,12664190300.0
2003,13243892200.0
2004,13724810900.0
2005,14698000000.0
2006,15999890000.0
2007,17011750000.0
2008,17986890000.0
2009,17601620000.0
2010,18447920000.0
2011,20283780000.0
2012,21386150000.0
2013,21990960000.0
2014,22593470000.0
2015,23438240000.0
2016,24191430000.0
2017,24979190000.0
2018,26020850000.0
2019,26896660000.0
2020,24638720000.0
2021,28736940000.0
