,Equatorial Guinea
1962,9122751.45318345
1963,10840095.1283649
1964,12712471.3960211
1965,64748333.3333333
1966,69110000.0
1967,72317446.9327193
1968,67514285.7142857
1969,67225714.2857143
1970,66331428.5714286
1971,64946954.756798
1972,65429198.238708
1973,81203226.9138345
1974,94159862.7073691
1975,104295643.388437
1976,103653049.93797
1977,103987520.075827
1980,50642880.7737503
1981,36731422.8456914
1982,44294647.733479
1983,44442456.94764
1984,50320914.4065688
1985,62118564.8495425
1986,76407396.7552964
1987,93345847.7270322
1988,100534663.294927
1989,88265974.5843603
1990,112119406.548331
1991,110906032.075075
1992,134707184.355541
1993,136047896.155778
1994,100807001.813926
1995,141853368.256815
1996,232463036.435759
1997,442337849.474377
1998,370687618.717326
1999,621117885.668503
2000,1045998496.43872
2001,1461139022.02954
2002,1806742742.27311
2003,2484745935.09329
2004,4410764338.66733
2005,8217369092.65224
2006,10086528698.8604
2007,13071718758.7373
2008,19749893536.3204
2009,15027795173.2187
2010,16314442183.3477
2011,21357344847.4966
2012,22388345810.2466
2013,21948835350.3425
2014,21765454404.421
2015,13185496836.4124
2016,11240809132.4145
2017,12200912828.3695
2018,13097011208.4602
2019,11364134108.6175
2020,10099157269.8025
2021,12269392788.7402
