,Ethiopia
1981,7324903188.4058
1982,7707678019.32367
1983,8567890821.25604
1984,8096302367.14976
1985,9480840483.09179
1986,9848600869.56522
1987,10527338647.343
1988,10908935748.7923
1989,11476584879.2271
1990,12175166763.285
1991,13463868357.4879
1992,10492993077.6093
1993,8830712713.90781
1994,6927950564.55657
1995,7663984567.90123
1996,8547939730.62374
1997,8589211390.49612
1998,7818224905.55071
1999,7700833482.00615
2000,8242392103.68061
2001,8231326016.47494
2002,7850809498.16803
2003,8623691300.04079
2004,10131187261.4421
2005,12401139453.9738
2006,15280861834.6024
2007,19707616772.7996
2008,27066912635.2228
2009,32437389116.038
2010,29933790334.3418
2011,31952763089.33
2012,43310721414.0829
2013,47648211133.2183
2014,55612228233.5179
2015,64589334978.8013
2016,74296618481.0882
2017,81770791970.982
2018,84269348327.3454
2019,95912590628.1412
2020,107657734392.446
2021,111271112329.975
