,Euro area
1960,244832935017.629
1961,268965157140.85
1962,298819018812.336
1963,335341706018.757
1964,373024086802.03
1965,407740494856.14
1966,444882672260.909
1967,483418521497.102
1968,518991584973.929
1969,579332792192.932
1970,642618088368.821
1971,728350554974.309
1972,879866290916.195
1973,1142236590690.38
1974,1295369699850.02
1975,1501998418268.04
1976,1567495504827.94
1977,1782977995170.69
1978,2183343538754.24
1979,2644833360482.99
1980,2962180543669.06
1981,2574374750648.22
1982,2492494872148.43
1983,2431610581355.91
1984,2332402739282.44
1985,2396184424241.68
1986,3362906739591.32
1987,4159430693750.94
1988,4574520626626.7
1989,4672688524983.16
1990,5880686952499.88
1991,6114121761315.69
1992,6745616975554.08
1993,6172470672291.46
1994,6515616661978.12
1995,7515711917825.14
1996,7604595626511.77
1997,6952260676501.13
1998,7149267346201.28
1999,7116178840772.46
2000,6495501325035.75
2001,6596320042271.13
2002,7199933607653.37
2003,8862289873787.83
2004,10160380132231.7
2005,10523534336457.1
2006,11184044963017.0
2007,12879111927841.3
2008,14158257823461.1
2009,12938506901373.2
2010,12641279097270.1
2011,13637358251246.6
2012,12638199928858.1
2013,13195371020219.7
2014,13508854391651.8
2015,11674422820798.6
2016,11972520804230.6
2017,12677749892531.3
2018,13699406014418.1
2019,13416061270575.3
2020,13027258675468.3
2021,14493212396452.5
