,Europe & Central Asia (excluding high income)
1988,862081298875.325
1989,834087939757.757
1990,893026242232.066
1991,870041628707.896
1992,798686849810.38
1993,784818157096.961
1994,674052499507.065
1995,721698282309.623
1996,729351103173.691
1997,761369825434.892
1998,705516678669.89
1999,591787468051.344
2000,662873806189.37
2001,655066512478.541
2002,750711494010.219
2003,947223709943.877
2004,1256036216038.76
2005,1589616931936.74
2006,1950078746522.65
2007,2509462646689.51
2008,3110375767545.72
2009,2437792607189.29
2010,2953062660119.67
2011,3670006734228.19
2012,3914696679892.02
2013,4150223013344.07
2014,3845832673606.77
2015,2921404061640.66
2016,2777731258685.99
2017,3118192978608.2
2018,3182530249215.21
2019,3249705581846.91
2020,2980726151029.73
2021,3499151501974.59
