,Faroe Islands
1998,1113926695.31996
1999,1131532926.23491
2000,1068278259.57863
2001,1162024799.34637
2002,1276375289.75135
2003,1500235286.97421
2004,1708217188.8301
2005,1754406443.32905
2006,2014663348.35542
2007,2333137388.17349
2008,2488397638.33585
2009,2295640657.35231
2010,2322202663.53728
2011,2499152495.01742
2012,2414380664.65257
2013,2677296440.7172
2014,2901131403.11804
2015,2561824640.6754
2016,2804863556.01111
2017,2969876872.28339
2018,3180074747.41076
2019,3268839775.69197
2020,3240759988.99453
