,Finland
1960,5224102195.52771
1961,5921659485.03284
1962,6340580854.39073
1963,6885920328.66187
1964,7766655085.78588
1965,8589340019.02985
1966,9208524504.87684
1967,9368954010.3132
1968,8823033880.32993
1969,10070766720.5011
1970,11357516987.5425
1971,12527405512.9298
1972,14743186119.8738
1973,19472363466.6252
1974,24848821490.4679
1975,29472623242.2822
1976,31849513771.3494
1977,33499799321.2336
1978,36256160288.8087
1979,44465255686.1548
1980,53645202422.6968
1981,52448332874.07
1982,52797582336.2526
1983,50973526900.0854
1984,52888800949.7428
1985,55875863392.1719
1986,73531550551.255
1987,91594751792.2359
1988,109058990760.483
1989,119012054870.445
1990,141438345513.917
1991,127773856785.767
1992,112532519246.084
1993,89214114708.0254
1994,103299943084.804
1995,134189814814.815
1996,132129174216.93
1997,126912152101.707
1998,134038718291.055
1999,135264083658.688
2000,126019543413.334
2001,129533107311.811
2002,140404460203.138
2003,171652458349.411
2004,197479443979.151
2005,204885494686.381
2006,217089269791.764
2007,256378067752.158
2008,285716311136.719
2009,253497520828.515
2010,249424310816.667
2011,275604356167.316
2012,258290060227.734
2013,271362405890.589
2014,274862826772.156
2015,234534382384.766
2016,240771351298.833
2017,255647979916.471
2018,275715087494.902
2019,268508200125.49
2020,271836962949.417
2021,299155237589.142
