,Fragile and conflict affected situations
1968,40329060337.2486
1969,44964941022.8794
1970,54879935788.382
1971,55668421544.8869
1972,63704979318.151
1973,78095101844.459
1974,116068152928.314
1975,130309189838.852
1976,153398971803.219
1977,168808235850.867
1978,185889019257.114
1979,234830699296.195
1980,293699795355.441
1981,408722585583.244
1982,391460985901.148
1983,333824453512.594
1984,301809191213.18
1985,308177388013.949
1986,298869868584.082
1987,308067401418.451
1988,313926018650.762
1989,301903805125.889
1990,481144860425.517
1991,313953421791.531
1992,274223277266.923
1993,262587613034.738
1994,263718613246.674
1995,317297045039.775
1996,334159249915.535
1997,379225145451.623
1998,384207074822.047
1999,427533219681.167
2000,501178365741.034
2001,493622898290.225
2002,480142219537.68
2003,497886958284.563
2004,626578298939.613
2005,785432453739.795
2006,973295368241.019
2007,1182382314414.12
2008,1508200043423.5
2009,1443760778961.67
2010,1704876091179.9
2011,1585691951869.14
2012,1775655220875.45
2013,1841568147018.73
2014,2003049910949.6
2015,1626308476780.64
2016,1508064190990.59
2017,1580890166457.95
2018,1603272031249.36
2019,1689423709082.73
2020,1561506152786.47
2021,1644875126140.77
