,French Polynesia
1965,176534588.228022
1966,215659453.337117
1967,220984367.407479
1968,259590074.270556
1969,242943782.903497
1970,254036000.501029
1971,296865513.098185
1972,326433558.24705
1973,431252938.194066
1974,555340843.938907
1975,690323390.965876
1976,732288909.021386
1977,793196379.445753
1978,1005569840.75191
1979,1215032464.69436
1980,1362159375.65418
1981,1279973322.69991
1982,1286462553.55604
1983,1335935750.52892
1984,1379073195.79442
1985,1507225616.89616
1986,2301627739.62012
1987,2543164237.05788
1988,2687524331.0457
1989,2636473757.99404
1990,3181206210.85118
1991,3267367650.64269
1992,3558359184.46646
1993,3396259324.04045
1994,3522272234.12075
1995,3982376722.37398
1996,3954697173.61901
1997,3566672621.78482
1998,3774675104.74177
1999,3795764727.79009
2000,3453920574.91815
2015,5325848045.4324
2016,5497037292.63831
2017,5833351477.8985
2018,6135117589.07754
2019,6008055247.77908
2020,5669368717.20724
