,"Gambia, The"
1966,44212353.6988296
1967,46695363.1558873
1968,41160658.5705371
1969,45168722.6995632
1970,52296836.749388
1971,55728608.974983
1972,59161544.9957528
1973,75187969.924812
1974,95797533.4619206
1975,115182522.123894
1976,112189468.481826
1977,138094243.349324
1978,171836793.402695
1979,207114382.546071
1980,241080708.89018
1981,218764445.784343
1982,216051495.959817
1983,213446562.57106
1984,177338801.93075
1985,225724851.691107
1986,185646209.386282
1987,220626484.224811
1988,266673126.229801
1989,284119692.49433
1990,317083373.524559
1991,690314321.374999
1992,714255460.503389
1993,755042548.055824
1994,746491692.583857
1995,785996982.492168
1996,848237108.56163
1997,803630742.53446
1998,840285264.631545
1999,814723460.08372
2000,782915402.421095
2001,687408804.630527
2002,578236035.104279
2003,487038821.611959
2004,961900106.892751
2005,1027702254.38664
2006,1054113426.70947
2007,1279704744.82781
2008,1561763437.0325
2009,1450140385.97229
2010,1543292392.54605
2011,1409694553.90934
2012,1415006238.09509
2013,1375608956.10386
2014,1229460601.92174
2015,1378176868.31568
2016,1484579844.37143
2017,1504909753.28746
2018,1670670668.5939
2019,1813608279.65044
2020,1830412999.95922
2021,2078070683.54686
