,Guinea-Bissau
1970,78733594.8411852
1971,78540057.1372471
1972,87702828.5651641
1973,89374237.2881356
1974,98775328.9473684
1975,108985740.155434
1976,112386489.005677
1977,114971207.205384
1978,122666858.789625
1979,118537875.133044
1980,110653830.722704
1981,154731969.69697
1982,165523634.503718
1983,163577538.326314
1984,138478900.628609
1985,143856253.127248
1986,130225018.751151
1987,173836362.010677
1988,164458120.318029
1989,213143016.446378
1990,243961995.512687
1991,257150374.069711
1992,226313443.749086
1993,236880821.656388
1994,235620043.500927
1995,253966922.278198
1996,270419779.418107
1997,268550998.219197
1998,206457544.497703
1999,224446663.800548
2000,371095510.047761
2001,392621385.894576
2002,417806667.07798
2003,477458598.710737
2004,532062927.382438
2005,587029054.444652
2006,592365688.05204
2007,696910810.918663
2008,868154708.520179
2009,830126469.986608
2010,849878424.225986
2011,1099818651.98114
2012,989271229.637162
2013,1046087417.96916
2014,1054915645.19654
2015,1048229629.42039
2016,1179004941.22904
2017,1350177127.5523
2018,1504630120.99275
2019,1439638443.38133
2020,1431758242.90375
2021,1638517533.16504
