,Guinea
1986,1995186720.74733
1987,2041538039.57727
1988,2384295982.38433
1989,2432029433.82679
1990,2666750685.8495
1991,3015058138.92561
1992,3284620543.22982
1993,3279096606.21358
1994,3383092827.5866
1995,3693710532.91191
1996,3868968301.91851
1997,3783700461.64359
1998,3588375476.76248
1999,3461282543.12577
2000,2995361140.63217
2001,2829435956.51563
2002,2950198648.95191
2003,3446441698.00738
2004,3635458132.65317
2005,2937071767.25576
2006,4220019242.74824
2007,6281917655.90249
2008,6964179193.84418
2009,6716904568.76482
2010,6853467857.61127
2011,6785137172.77058
2012,7638045254.42864
2013,8376613843.27265
2014,8778473614.54728
2015,8794202443.67366
2016,8595955581.21787
2017,10324668266.5921
2018,11857030336.5252
2019,13442861443.7506
2020,14169626010.1229
2021,15850520383.9941
