,Guyana
1960,170215248.206265
1961,185848451.262906
1962,194948375.430205
1963,175756868.692761
1964,194773376.888526
1965,213235294.117647
1966,228705882.352941
1967,250176470.588235
1968,229750000.0
1969,249300000.0
1970,267800000.0
1971,282050000.0
1972,285380952.380952
1973,307047619.047619
1974,433954545.454545
1975,494791666.666667
1976,454440000.0
1977,449880000.0
1978,507080000.0
1979,530440000.0
1980,603200000.0
1981,570357107.142857
1982,482000000.0
1983,489333333.333333
1984,437631605.263158
1985,453488372.093023
1986,504651139.534884
1987,354591846.938775
1988,413799990.0
1989,379779389.705882
1990,396582263.291139
1991,348533094.812165
1992,373573141.486811
1993,454101382.488479
1994,540874934.201012
1995,621626785.915493
1996,705406001.424501
1997,749138009.56454
1998,717530683.169567
1999,694754988.258295
2000,712667896.727512
2001,712167575.624277
2002,726131434.715338
2003,743064076.794567
2004,787814379.183843
2005,824880550.343965
2006,2379818382.99241
2007,2730971150.01134
2008,3025187923.58617
2009,3165663152.73351
2010,3432913073.24154
2011,3691384317.52178
2012,4063089191.87525
2013,4167800259.20888
2014,4127659492.02031
2015,4279840193.7046
2016,4482697336.56174
2017,4748174334.14044
2018,4787636237.24043
2019,5173760191.84652
2020,5471256594.72422
2021,7409179920.86331
