,Haiti
1960,273187200.0
1961,271066000.0
1962,281896800.0
1963,294883400.0
1964,325281200.0
1965,353251800.0
1966,368948600.0
1967,369124200.0
1968,367968800.0
1969,391820400.0
1970,331200000.0
1971,362800000.0
1972,372000000.0
1973,466800000.0
1974,565400000.0
1975,681400000.0
1976,879000000.0
1977,947000000.0
1978,974200000.0
1979,1080600000.0
1980,1383800000.0
1981,1479400000.0
1982,1474200000.0
1983,1623600000.0
1984,1816200000.0
1985,2009400000.0
1986,2318000000.0
1987,2047200000.0
1988,2613926800.0
1989,2736243800.0
1990,3096289800.0
1991,3473540601.82161
1992,2257121668.19352
1993,1878248741.04949
1994,2167564194.7342
1995,2813313278.81082
1996,2907514522.92503
1997,3338938830.01743
1998,3723909226.86781
1999,4153736347.44223
2000,6813577558.17628
2001,6331961555.40914
2002,6058134466.75258
2003,4826827577.08641
2004,6036959914.72398
2005,7184064657.2953
2006,7518107786.51149
2007,9522763153.81366
2008,10485225353.1801
2009,11597014807.3496
2010,11859315078.7902
2011,13008754110.8113
2012,13708926466.2732
2013,14902474090.615
2014,15139264670.4225
2015,14833154471.7456
2016,13987693738.923
2017,15035560372.6443
2018,16455034352.7671
2019,14785839382.9002
2020,14508218017.4032
2021,20944392615.0803
