,Heavily indebted poor countries (HIPC)
1960,17360551605.5377
1961,17810256435.9833
1962,19383483570.0738
1963,23386439657.7187
1964,20892307285.7156
1965,24400739742.0037
1966,26571468986.9211
1967,26028372497.7338
1968,27543450553.6088
1969,30606053416.5595
1970,32080189239.1802
1971,34542740167.9709
1972,37622082870.9626
1973,45504435627.5974
1974,55470443839.8093
1975,63372321893.3251
1976,67284966318.7072
1977,79103966752.2413
1978,91379771759.7688
1979,102149223349.076
1980,110546612986.623
1981,107572426355.608
1982,106872165425.026
1983,102405323314.345
1984,103107736516.393
1985,102559075903.394
1986,117830853108.465
1987,129687584662.812
1988,136710916345.081
1989,139565492418.927
1990,161312180661.065
1991,174925139193.929
1992,131774497712.498
1993,136738570690.304
1994,116104380252.109
1995,135525141305.869
1996,146912874514.068
1997,152989600837.885
1998,161880564029.343
1999,162648079835.798
2000,176448622410.695
2001,171532830444.686
2002,184656537425.994
2003,209038742819.802
2004,240959217921.905
2005,276891783723.456
2006,326495716123.49
2007,391474804964.854
2008,465585740785.727
2009,470851143295.546
2010,520218298652.395
2011,583029263320.14
2012,604866547388.919
2013,673156514396.158
2014,715228883440.478
2015,693546549509.433
2016,728868758296.964
2017,808758193981.076
2018,770227091403.54
2019,797617929913.554
2020,803283582149.532
2021,894494280734.025
