,Honduras
1960,335650000.0
1961,356200000.0
1962,387750000.0
1963,410200000.0
1964,457000000.0
1965,508650000.0
1966,549950000.0
1967,598100000.0
1968,646800000.0
1969,668000050.0
1970,723000000.0
1971,731000000.0
1972,802999950.0
1973,912499950.0
1974,1034500000.0
1975,1124000000.0
1976,1347999950.0
1977,1669499950.0
1978,3097242093.2
1979,3544281976.3
1980,3968160046.0
1981,4043894878.6
1982,4266503525.6
1983,4476697184.85
1984,4915311846.5
1985,5278120712.5
1986,5677828959.0
1987,6190521241.5
1988,5902717091.41631
1989,5432344901.72414
1990,4923009551.55642
1991,4648668478.56753
1992,4943700431.07368
1993,4926728932.95069
1994,4642280682.14252
1995,5347445005.21376
1996,5215028986.48649
1997,5737099650.19011
1998,6366340265.87888
1999,6414520529.61672
2000,7186650135.43927
2001,7651174661.42872
2002,7858235333.4834
2003,8230387552.2259
2004,8869311410.95131
2005,9757034456.7578
2006,10917481688.4711
2007,12361257680.5627
2008,13881701033.6546
2009,14587496229.1811
2010,15839344591.9842
2011,17710315005.9999
2012,18528601901.324
2013,18499710127.8385
2014,19756494434.7031
2015,20979767785.2104
2016,21717622071.3816
2017,23136232229.6069
2018,24067778953.842
2019,25089976946.7736
2020,23827840809.7014
2021,28488668301.6401
