,"Hong Kong SAR, China"
1960,1320796651.69457
1961,1383681651.13776
1962,1612346412.26475
1963,1935298266.45384
1964,2206466461.26434
1965,2435078534.03141
1966,2489845016.64894
1967,2692474989.12571
1968,2716964388.42418
1969,3189740055.13982
1970,3800766535.62088
1971,4476001946.01486
1972,5710107420.14394
1973,8030117555.62033
1974,9388663645.7588
1975,10048022369.9141
1976,12876366008.8077
1977,15719433719.4337
1978,18315007365.9713
1979,22526035940.5921
1980,28861759209.0191
1981,31055409443.043
1982,32291306281.8168
1983,29907091339.5364
1984,33511383985.6741
1985,35699543050.7778
1986,41075570591.9291
1987,50622571586.1149
1988,59707404560.5944
1989,68790369107.2962
1990,76928290841.8701
1991,88959620135.8864
1992,104272278634.731
1993,120353947980.764
1994,135812069768.646
1995,144652912433.103
1996,159717233621.659
1997,177352785419.977
1998,168886163221.567
1999,165768095391.557
2000,171668164082.555
2001,169403241524.337
2002,166349228737.386
2003,161384522525.299
2004,169099768875.193
2005,181570082162.19
2006,193536265094.364
2007,211597405593.868
2008,219279678430.164
2009,214046415026.187
2010,228637697575.04
2011,248513617677.287
2012,262629441493.476
2013,275696879834.966
2014,291459356985.337
2015,309383627028.561
2016,320858250776.188
2017,341273289534.466
2018,361731070995.726
2019,363052489184.395
2020,344881400505.337
2021,368139247671.487
