,IBRD only
1960,327204160846.152
1961,313137738208.206
1962,320917769739.02
1963,344262101177.631
1964,389544157511.33
1965,427559386319.374
1966,441410689054.872
1967,453275726754.822
1968,478542589006.516
1969,534168081666.444
1970,580897062782.651
1971,634133555565.065
1972,713410992826.482
1973,923601435329.649
1974,1163825805542.67
1975,1256999081921.0
1976,1360905038980.51
1977,1541651956738.76
1978,1661415134467.37
1979,1986017498333.79
1980,2350862676421.94
1981,2536379383023.98
1982,2511116062107.2
1983,2472688843225.74
1984,2516670453314.18
1985,2619969102891.8
1986,2721194096374.45
1987,2780422143054.66
1988,2994580288823.01
1989,3105001132465.63
1990,3571969618683.42
1991,3460752715568.56
1992,3640897970327.31
1993,3911776965325.48
1994,4324201703229.78
1995,4910113673921.96
1996,5362340717400.32
1997,5686204103699.47
1998,5520751888183.05
1999,5376598458239.83
2000,5851018524492.79
2001,5922928533345.5
2002,6012947768642.41
2003,6760231151572.85
2004,8057415924225.1
2005,9634049138991.57
2006,11425739131851.5
2007,14191372953571.8
2008,17032754354071.0
2009,16521481128182.6
2010,20097496245440.3
2011,23788655660458.6
2012,25281744734510.7
2013,26687314344078.3
2014,27585919437824.3
2015,25838407546532.0
2016,26049357277804.3
2017,28755722549809.3
2018,30580348814900.7
2019,31244154278543.7
2020,30032432470232.9
2021,35451524325722.9
