,IDA & IBRD total
1960,363569102995.351
1961,352695168049.247
1962,364189977442.032
1963,393260074757.208
1964,436185757647.374
1965,480228173056.845
1966,499017224935.804
1967,511165786375.835
1968,539542428695.301
1969,602712989620.137
1970,661171512918.521
1971,713741360384.367
1972,795644170390.951
1973,1016245600934.01
1974,1290377369867.92
1975,1410777873390.35
1976,1520022567615.53
1977,1714528004363.86
1978,1859024805204.86
1979,2215868318039.08
1980,2624924822098.99
1981,2952727042064.65
1982,2900908598232.85
1983,2793241872668.18
1984,2809094497765.03
1985,2917975977925.16
1986,3021245533805.96
1987,3106723951321.97
1988,3314188341804.95
1989,3429380434604.47
1990,3941505986851.95
1991,3846912603078.04
1992,3991825770212.02
1993,4253036898330.71
1994,4664117575201.65
1995,5302338944712.36
1996,5803381317673.24
1997,6145265685070.67
1998,5988636654957.91
1999,5858653601598.64
2000,6386350203645.05
2001,6461460423129.14
2002,6590518137824.62
2003,7402864300660.0
2004,8813932644613.8
2005,10518867688114.3
2006,12481151014170.7
2007,15427527154616.6
2008,18509147030660.6
2009,17990699267608.8
2010,21779204981598.5
2011,25494070387347.8
2012,27074329762050.0
2013,28633433322819.4
2014,29669217348404.7
2015,27890618520661.3
2016,28148206251242.2
2017,30949196507979.8
2018,32816676763015.1
2019,33581689373310.4
2020,32364941970351.3
2021,37997904401783.5
