,IDA blend
1960,12063624831.5225
1961,12910165408.6876
1962,13806052818.2338
1963,14611892061.8658
1964,15945493755.7862
1965,17314118925.157
1966,18833569941.5532
1967,18930348689.1235
1968,19982308074.9109
1969,22860635435.9025
1970,31424467845.9078
1971,29185189385.9908
1972,32770612977.9508
1973,34960223319.4958
1974,50396432457.7468
1975,57971303959.4738
1976,69959449057.2639
1977,73756437109.6161
1978,80183381629.4718
1979,98426808638.4687
1980,126263018335.525
1981,243040581389.251
1982,222134518720.423
1983,168564666397.684
1984,144656450536.026
1985,145317209710.25
1986,131018132846.291
1987,134041213907.355
1988,137620453845.256
1989,132645365786.737
1990,146299175327.62
1991,146920292899.616
1992,147612326969.102
1993,132706047315.427
1994,133300738209.734
1995,156253999294.542
1996,172449840381.96
1997,176072185275.043
1998,173821066984.144
1999,181554213671.055
2000,206736783138.396
2001,206419040853.289
2002,228104525727.977
2003,256485188711.056
2004,312143017306.598
2005,373205808605.64
2006,466944898900.203
2007,538493859393.109
2008,639865739644.601
2009,606825168834.361
2010,709900520105.721
2011,814255824793.45
2012,900552955434.27
2013,978009434733.188
2014,1049295978895.45
2015,1011469386663.99
2016,977136218822.668
2017,959820517813.632
2018,1007826238815.28
2019,1040154261857.99
2020,999383582141.337
2021,1090090509343.12
