,Iceland
1960,248434096.968726
1961,253885656.329253
1962,284916516.159537
1963,340061650.119898
1964,434267936.914583
1965,523694949.370689
1966,628893310.399926
1967,621225962.154708
1968,474399471.622359
1969,414709311.35296
1970,526704545.454545
1971,670251136.363636
1972,839652164.06073
1973,1154440252.96794
1974,1515190595.29765
1975,1406875081.32726
1976,1669488389.96542
1977,2208509076.28099
1978,2511826196.009
1979,2853435053.88542
1980,3381419251.29231
1981,3492997010.04956
1982,3206626644.5371
1983,2765950335.71095
1984,2864441387.40507
1985,2984052356.55071
1986,3989622739.28212
1987,5520318404.64149
1988,6106635816.24587
1989,5672569449.07068
1990,6468736355.55678
1991,6909730288.17061
1992,7080981738.05606
1993,6218581531.64347
1994,6389460342.78656
1995,7123633418.19739
1996,7426082270.67669
1997,7569666973.65322
1998,8503693098.62271
1999,8982047589.4895
2000,9025660361.75842
2001,8234846804.60582
2002,9318395054.85934
2003,11429333037.8443
2004,13825302535.7699
2005,16852963067.0496
2006,17465318552.2941
2007,21652505596.7528
2008,18074622987.0185
2009,13154414219.207
2010,13751161917.7398
2011,15221622925.9319
2012,14751508133.5443
2013,16125060515.3117
2014,17867662177.8911
2015,17517210519.0912
2016,20793168030.9524
2017,24728285177.4603
2018,26267063757.5495
2019,24857740445.0401
2020,21718075725.2054
2021,25458933915.8742
