,India
1960,37029883876.1839
1961,39232435784.0358
1962,42161481858.0819
1963,48421923459.1235
1964,56480289940.9899
1965,59554854575.8085
1966,45865462034.2857
1967,50134942204.0
1968,53085455870.6667
1969,58447995017.3333
1970,62422483054.6667
1971,67350988021.3932
1972,71463193831.0092
1973,85515269585.4
1974,99525899116.054
1975,98472796456.884
1976,102717164466.397
1977,121487322475.912
1978,137300295313.3
1979,152991653793.77
1980,186325345086.661
1981,193490610029.789
1982,200715145363.148
1983,218262273406.969
1984,212158234167.312
1985,232511877841.698
1986,248985994040.59
1987,279033584092.223
1988,296588994812.354
1989,296042354984.876
1990,320979026420.035
1991,270105341879.226
1992,288208430383.964
1993,279296022987.919
1994,327275583539.559
1995,360281952716.797
1996,392897054348.071
1997,415867753863.874
1998,421351477504.743
1999,458820417337.807
2000,468394937262.37
2001,485441014538.638
2002,514937948870.08
2003,607699285433.872
2004,709148514804.659
2005,820381595512.902
2006,940259888792.141
2007,1216735441524.86
2008,1198895582137.51
2009,1341886602798.69
2010,1675615335600.56
2011,1823049927771.46
2012,1827637859135.7
2013,1856722121394.53
2014,2039127446298.55
2015,2103587813812.75
2016,2294797980509.01
2017,2651472946374.91
2018,2702929718960.46
2019,2831552222519.99
2020,2667687951796.56
2021,3173397590816.91
