,Isle of Man
1995,914762873.689153
1996,1023005862.77927
1997,1180968165.4086
1998,1382605389.32055
1999,1567402513.69642
2000,1563667799.61578
2001,1659131243.73837
2002,1947332921.74718
2003,2328658227.8481
2004,2822358473.16983
2005,3032400000.0
2006,3422651333.94664
2007,4466100440.17607
2008,5928420955.88235
2009,5487083657.89064
2010,5920177688.50433
2011,6566098381.6696
2012,6690725118.48341
2013,7000748788.49461
2014,7708834951.45631
2015,7085288006.11154
2016,6846691871.45558
2017,6979581724.58172
2018,7491969312.87525
2019,7315388052.08067
