,Jamaica
1960,699050678.98642
1961,748028839.423211
1962,777712445.751085
1963,826690466.190676
1964,897931401.371973
1965,972140557.188856
1966,1096738065.2387
1967,1148025407.34604
1968,1083883355.33421
1969,1191287651.50606
1970,1404776071.04284
1971,1539865513.92891
1972,1875048859.93485
1973,1905917553.19149
1974,2375096249.03751
1975,2860411285.88714
1976,2966010229.8977
1977,3249697393.02607
1978,2644449232.29321
1979,2425033998.18676
1980,2679409453.23903
1981,2979061412.37229
1982,3293533288.42483
1983,3619294120.69144
1984,2373566957.49214
1985,2100223149.71396
1986,2754566176.20212
1987,3286987551.71597
1988,3828310734.97795
1989,4404970058.83786
1990,4592224067.37194
1991,4106199176.28901
1992,3535460089.80719
1993,5440064773.17365
1994,5452564385.43307
1995,6577523824.70029
1996,7393883554.77969
1997,8400033893.99653
1998,8787195622.43502
1999,8887061866.89206
2000,9005064474.93003
2001,9194717835.99985
2002,9719017925.92929
2003,9430230564.4699
2004,10174664853.9476
2005,11243868485.7428
2006,11930171468.3796
2007,12799593017.7101
2008,13709402085.3206
2009,12120460872.8003
2010,13220556882.7046
2011,14444655299.8772
2012,14807086889.2099
2013,14264202737.3082
2014,13899228824.2161
2015,14188935947.5694
2016,14077109396.8584
2017,14808989993.3185
2018,15730793852.7913
2019,15830768549.8916
2020,13812425036.5864
2021,13638230995.679
