,Kiribati
1970,14295279.5446937
1971,15278632.4786325
1972,18936526.9461078
1973,31710657.7257811
1974,85637174.3722131
1975,55081816.9917528
1976,41109617.4996945
1977,38748059.4366822
1978,45210026.3248255
1979,42620165.4370668
1980,38715554.5433842
1981,41369800.0459664
1982,40572066.1324678
1983,37837837.8378378
1984,41246160.596753
1985,32125148.4042182
1986,32085561.4973262
1987,33608738.2719507
1988,42972107.1958747
1989,41119721.651115
1990,39809538.6776989
1991,47515189.2818196
1992,47737955.346651
1993,46919624.6430029
1994,54832577.8622606
1995,56338028.1690141
1996,66515376.7900462
1997,67537479.5903221
1998,65334841.0604347
1999,69032258.0645161
2000,67254174.3970315
2001,63101272.3699183
2002,72196457.6768445
2003,90231856.8000519
2004,102367039.270481
2005,112133944.253532
2006,110234939.759036
2007,132671742.950381
2008,141042610.300285
2009,132419903.291218
2010,155299728.488133
2011,180665807.21513
2012,189630114.855587
2013,184550740.142316
2014,177862310.350122
2015,170291001.98321
2016,178509814.059419
2017,188192060.085837
2018,196230573.819486
2019,177935349.322211
2020,180911843.644622
