,"Korea, Rep."
1960,3958190758.62419
1961,2417558289.36656
1962,2814318516.60968
1963,3988784572.24835
1964,3458939357.73377
1965,3120833333.33333
1966,3928908380.62947
1967,4855907141.80098
1968,6119284294.23459
1969,7678581343.69794
1970,9005023183.92581
1971,9903499927.98502
1972,10862327878.032
1973,13876531432.0145
1974,19544094741.2663
1975,21784297520.6612
1976,29902479338.843
1977,38446487603.3058
1978,51972107438.0165
1979,66946900826.4463
1980,65398646757.6511
1981,72933350953.7025
1982,78358866334.7376
1983,87760360941.0248
1984,97510235986.0046
1985,101296177099.377
1986,116836802995.065
1987,147948259722.577
1988,199590823957.237
1989,246927292765.02
1990,283367525714.932
1991,330648530715.211
1992,355525267405.367
1993,392666101884.959
1994,463617399962.661
1995,566583427334.137
1996,610169556840.077
1997,569754543829.957
1998,383330931042.356
1999,497512659612.052
2000,576178114168.494
2001,547658231279.87
2002,627246081417.004
2003,702717332012.991
2004,793175007858.066
2005,934901071332.984
2006,1053216909887.56
2007,1172614086539.86
2008,1047339010225.25
2009,943941876218.743
2010,1144066965324.49
2011,1253223044718.99
2012,1278427634342.59
2013,1370795199976.18
2014,1484318219633.63
2015,1465773245547.15
2016,1500111596236.37
2017,1623901496835.79
2018,1724845615629.26
2019,1651422932447.77
2020,1637895802792.9
2021,1798533915091.14
