,Kuwait
1965,2097451694.2033
1966,2391486978.43741
1967,2441893027.16326
1968,2663119574.34892
1969,2769532343.88127
1970,2873984878.18538
1971,3880370401.57259
1972,4451200972.9401
1973,5408293998.65138
1974,13004774556.6166
1975,12024138275.8621
1976,13131668946.6484
1977,14135729588.2763
1978,15500908760.4507
1979,24746019536.903
1980,28638550499.4451
1981,25056672166.4275
1982,21577977770.059
1983,20869434305.3173
1984,21697297872.3404
1985,21442619680.8511
1986,17903681693.0489
1987,22365734481.5213
1988,20692472759.8566
1989,24312117767.1886
1990,18427777777.7778
1991,11008793176.2223
1992,19858555214.7239
1993,23941391390.7285
1994,24848483838.3838
1995,27191353887.3995
1996,31493319973.2799
1997,30355093966.3699
1998,25939960629.9213
1999,30123850197.1091
2000,37712842242.5033
2001,34887512226.9319
2002,38137545245.1464
2003,47876510067.1141
2004,59439090600.6108
2005,80798630136.9863
2006,101548931771.192
2007,114639690358.902
2008,147395089285.714
2009,105963168867.269
2010,115419399860.433
2011,154068115942.029
2012,174070382279.385
2013,174161142454.161
2014,162631412508.784
2015,114567298105.683
2016,109419728566.7
2017,120707435542.367
2018,138182400493.585
2019,136196760180.976
2020,105960225688.145
