,Kyrgyz Republic
1990,2675000000.0
1991,2569444444.44444
1992,2316562500.0
1993,2028295454.54545
1994,1681006993.00699
1995,1661018518.51852
1996,1827570586.16784
1997,1767864035.71943
1998,1645963749.83146
1999,1249061487.01457
2000,1369688498.06778
2001,1525116370.27939
2002,1605643104.73021
2003,1919008090.49641
2004,2211534585.0034
2005,2460248026.17783
2006,2834168889.42019
2007,3802566170.81543
2008,5139957784.91084
2009,4690062255.12247
2010,4794357795.07139
2011,6197766118.59856
2012,6605139933.41063
2013,7335027591.91628
2014,7468096566.71158
2015,6678178340.45121
2016,6813092065.83507
2017,7702934800.12836
2018,8271108638.39931
2019,8871026074.19762
2020,7780874536.66054
2021,8543423502.6134
