,Late-demographic dividend
1960,191871240299.82
1961,177782901812.643
1962,181100362913.969
1963,198228865304.905
1964,217638283202.081
1965,244568685176.379
1966,272430223906.184
1967,273832616723.794
1968,278694342633.003
1969,310796925108.656
1970,353673163530.603
1971,393170929920.256
1972,451702925739.568
1973,582144797768.955
1974,684807178215.334
1975,753236248447.547
1976,811991533792.224
1977,941855142672.998
1978,980040910310.891
1979,1165641151472.06
1980,1332883988803.51
1981,1398488571308.15
1982,1422480066661.44
1983,1307145385359.31
1984,1365046109829.1
1985,1415322660052.69
1986,1500949037619.91
1987,1579488993402.94
1988,1724525858441.84
1989,1824415239534.28
1990,1960684659399.57
1991,1974972942195.95
1992,2011133647567.97
1993,2093878266810.99
1994,2433508919307.64
1995,3016002804845.28
1996,3326988850739.28
1997,3483802673022.48
1998,3353761461282.86
1999,3099152027738.86
2000,3403353395616.98
2001,3517996155226.73
2002,3728990971796.24
2003,4248163141419.11
2004,5106551822817.06
2005,6162350434645.05
2006,7437176026139.83
2007,9370214649697.74
2008,11649120799525.2
2009,11256164141974.4
2010,13540280737685.4
2011,16498551262762.4
2012,17649552247547.1
2013,19020336554220.1
2014,19748300821653.4
2015,18517662625473.0
2016,18570802137230.1
2017,20609641582561.2
2018,22593028676199.4
2019,23026354774547.3
2020,22470885208733.4
2021,26594255163051.9
