,Latin America & Caribbean
1960,84505840123.9436
1961,89564538264.0449
1962,98133168723.7676
1963,100055914613.0
1964,110927451702.946
1965,119245935972.356
1966,131287867479.739
1967,133958293745.314
1968,143783099604.486
1969,160653768104.859
1970,175225383877.299
1971,195450859765.612
1972,219829013567.61
1973,292394772311.133
1974,379050061887.829
1975,397543570770.157
1976,436006497410.309
1977,478837872616.152
1978,542931886616.667
1979,644201252380.351
1980,782817432463.034
1981,894411286990.169
1982,829143097706.799
1983,726335251438.108
1984,726499438661.54
1985,722728037238.733
1986,722904638280.126
1987,761767837563.18
1988,851043429934.787
1989,928603848933.177
1990,1107682140920.54
1991,1189292445272.7
1992,1298556213180.95
1993,1506853613634.97
1994,1768969373175.15
1995,1921435596461.19
1996,2079618482748.93
1997,2280063264110.54
1998,2300354306601.39
1999,2075808797747.77
2000,2292336726313.52
2001,2243159956923.05
2002,2014060690651.85
2003,2055236487509.02
2004,2367797581807.09
2005,2862667126306.85
2006,3351007642961.63
2007,3948251887557.36
2008,4589904722161.51
2009,4312882645480.79
2010,5347115052556.75
2011,6085992033660.94
2012,6150577638703.64
2013,6302260334241.2
2014,6425925127988.68
2015,5369841659812.44
2016,5247934472432.74
2017,5830760733039.75
2018,5701842678618.32
2019,5623606841400.31
2020,4743154434209.72
2021,5488720386464.9
