,Least developed countries: UN classification
1980,113592360183.917
1981,113178767928.212
1982,111889101566.167
1983,106626397722.687
1984,106514443682.286
1985,111607277671.609
1986,120056252432.774
1987,132031485022.057
1988,145373702367.8
1989,157044087261.323
1990,182238951885.356
1991,195447461626.875
1992,147388890179.114
1993,147663129114.321
1994,136616305607.797
1995,156466495748.532
1996,172516421776.844
1997,181460778662.92
1998,184596819497.529
1999,189507124401.77
2000,217430636754.837
2001,212458828366.422
2002,230476293316.377
2003,258311200706.096
2004,298707684795.963
2005,353144128094.063
2006,409540836095.086
2007,491630473870.21
2008,599765492921.157
2009,604037425038.887
2010,686139144974.079
2011,796490512262.196
2012,837472392285.687
2013,912825118463.957
2014,981404159747.836
2015,949727385691.62
2016,988284685140.62
2017,1103873572550.27
2018,1087620246478.49
2019,1142304121430.5
2020,1162000059176.75
2021,1272906946634.44
