,Lebanon
1988,3313540067.93246
1989,2717998687.71002
1990,2838485353.96187
1991,4690415092.53663
1992,5843579160.90122
1993,7941744492.1211
1994,9599127049.9375
1995,11718795528.4939
1996,13690217333.2697
1997,15751867489.4446
1998,17247179005.5219
1999,17391056369.2265
2000,17260364842.4544
2001,17649751243.7811
2002,19152238805.9701
2003,20082918739.6352
2004,21159827992.0398
2005,21497336498.9718
2006,22022709851.5423
2007,24827355014.66
2008,29118916105.6053
2009,35399582928.6236
2010,38443907042.3217
2011,39927125961.194
2012,44016799515.8209
2013,46880103080.6634
2014,48095213746.4677
2015,49929337837.0813
2016,51147308773.9304
2017,53027680685.8375
2018,54901519155.6219
2019,51605959131.3385
2020,25948915861.1985
2021,18076624840.1841
