,Lesotho
1960,34579308.4138317
1961,35699286.0142797
1962,41859162.8167437
1963,47039059.2188156
1964,51938961.2207756
1965,54878902.4219516
1966,56698866.0226795
1967,59260814.7837043
1968,61444771.1045779
1969,65966680.6663867
1970,68738625.2274954
1971,76482102.9082774
1972,80915831.9240276
1973,121181556.195965
1974,150846210.448859
1975,149560513.860717
1976,147654093.836247
1977,193307267.709292
1978,266559337.626495
1979,290142517.814727
1980,431561376.476631
1981,434188034.188034
1982,348746822.619267
1983,386699308.859169
1984,333158476.24212
1985,268626912.549917
1986,318862888.402626
1987,402774852.652259
1988,470389179.678909
1989,495404888.092424
1990,596415104.549144
1991,704329192.771521
1992,831033941.093969
1993,835592802.276831
1994,878250450.602681
1995,1001889856.91048
1996,946123275.88212
1997,997996028.645833
1998,928458205.958432
1999,912771290.61298
2000,887295267.875155
2001,825706961.238689
2002,775780697.676625
2003,1157832934.55127
2004,1511236655.52047
2005,1682350934.85132
2006,1800105589.60349
2007,1682016947.22798
2008,1766825412.77296
2009,1740830510.87482
2010,2234731973.55119
2011,2579421686.24912
2012,2477702252.80078
2013,2367113170.00373
2014,2441053175.70743
2015,2359759799.04224
2016,2114020380.41651
2017,2306185361.14628
2018,2514146887.91664
2019,2451257578.69383
2020,2250717718.46577
2021,2518468891.03913
