,Lithuania
1995,7867140395.33705
1996,8382519637.46224
1997,10118631851.5322
1998,11239547690.9797
1999,10971583944.7561
2000,11524776866.6379
2001,12237388001.7264
2002,14259781159.0119
2003,18781721376.1985
2004,22627507451.5648
2005,26097677571.8373
2006,30183575103.5262
2007,39697891351.9431
2008,47797551587.8823
2009,37388122046.1496
2010,37128694028.243
2011,43535051482.3869
2012,42927454291.478
2013,46523420074.4372
2014,48533659592.1728
2015,41435533340.3883
2016,43047309305.7363
2017,47758736931.7801
2018,53750911865.687
2019,54697379017.3332
2020,56546957475.4912
2021,65503849704.5997
