,Luxembourg
1960,703925705.942958
1961,704145671.350213
1962,741509480.796284
1963,791140595.772755
1964,903158753.943622
1965,921600736.304026
1966,968440149.470951
1967,974721762.535327
1968,1066447130.82052
1969,1234878980.502
1970,1457768455.02219
1971,1518773421.37846
1972,1901697369.62698
1973,2609875802.11136
1974,3183637116.81856
1975,3123333333.33333
1976,3423586206.89655
1977,3789321328.08104
1978,4718539771.99949
1979,5516982663.73143
1980,6019805490.41247
1981,5053665797.47936
1982,4602316793.21914
1983,4524217751.47929
1984,4438435492.87908
1985,4577211767.10374
1986,6685595087.59256
1987,8320902215.01891
1988,9418167855.18376
1989,10037674037.674
1990,12778792853.6939
1991,13834219728.293
1992,15518702634.8808
1993,15925521222.0149
1994,17701798890.7644
1995,20853093869.7318
1996,20895314657.9805
1997,19563836265.2233
1998,20150053345.1878
1999,21899317598.8414
2000,21230182989.3036
2001,21387533703.2327
2002,23649833332.1655
2003,29667268248.1305
2004,35064843792.8993
2005,37672280120.4794
2006,42910146296.0646
2007,51587401415.7872
2008,58844277701.5258
2009,54467289897.5582
2010,56213985987.4168
2011,61696281326.2453
2012,59776383527.3602
2013,65203276466.9763
2014,68804811897.6445
2015,60071584216.1375
2016,62216885435.9488
2017,65712180342.9836
2018,71285019397.4133
2019,70195715495.5136
2020,73353132793.7076
2021,86710803337.0994
