,Malaysia
1960,1916241996.60264
1961,1901868548.28172
1962,2001502678.6881
1963,2510126747.68065
1964,2674441395.53116
1965,2956356984.18921
1966,3143538481.64119
1967,3188945511.56409
1968,3330393309.81315
1969,3664575983.27453
1970,3864170913.36731
1971,4244340333.51899
1972,5043268548.73032
1973,7662996766.66803
1974,9496074114.07918
1975,9298800799.46702
1976,11050125904.9418
1977,13139397879.1695
1978,16358376511.2263
1979,21213672089.1976
1980,24488033442.0506
1981,25004557093.8761
1982,26804401815.5348
1983,30346788437.5135
1984,33943505717.6993
1985,31200161095.4491
1986,27734562640.4277
1987,32181695507.2234
1988,35271880250.4964
1989,38848567631.4235
1990,44024178343.0071
1991,49143148094.2683
1992,59167550162.956
1993,66894837030.4184
1994,74478356957.7808
1995,88705342902.7113
1996,100855393910.486
1997,100005323301.867
1998,72167498980.8398
1999,79148421052.6316
2000,93789736842.1053
2001,92783947368.4211
2002,100845526315.789
2003,110202368421.053
2004,124749473684.211
2005,143534102611.497
2006,162691238209.476
2007,193547824063.3
2008,230813897715.69
2009,202257625195.063
2010,255016609232.871
2011,297951960784.314
2012,314443149443.149
2013,323277158906.979
2014,338061963396.376
2015,301354803994.367
2016,301255380276.258
2017,319112136545.438
2018,358791513221.482
2019,365276379480.99
2020,337006023789.699
2021,372701358820.264
