,Mali
1967,275494477.81984
1968,343771973.331357
1969,339913866.633523
1970,359772315.067256
1971,395218629.372336
1972,486617279.362262
1973,563683703.170094
1974,538747340.766661
1975,830710613.857335
1976,939228016.198078
1977,1049838549.9613
1978,1222702571.57931
1979,1595422953.67648
1980,1759691182.94597
1981,1538972426.91311
1982,1333754226.22123
1983,1297765325.81885
1984,1232932104.67093
1985,1392196048.89064
1986,1852163455.53598
1987,2090629984.18361
1988,2169040604.50929
1989,2181821905.94196
1990,2681912149.14767
1991,2724131460.10827
1992,2830673380.79743
1993,2818281080.10984
1994,2081846499.03751
1995,2706425157.92907
1996,2780422047.73085
1997,2697105821.83307
1998,2920358712.64824
1999,3440724707.80834
2000,2961484953.73364
2001,3468337941.0883
2002,3908121309.85681
2003,4714071978.28635
2004,5454249122.71389
2005,6247515892.29694
2006,6905934219.29467
2007,8156468818.00868
2008,9838403090.95859
2009,10231962382.7842
2010,10689168011.4449
2011,12995112698.0102
2012,12442035328.035
2013,13242690790.0557
2014,14364937127.7002
2015,13104764378.7114
2016,14026048334.2131
2017,15365713059.1057
2018,17070867577.6666
2019,17280250805.2245
2020,17465392779.0366
2021,19143741503.1482
