,Malta
1970,250721821.553678
1971,264579879.784878
1972,295118249.324933
1973,345602025.375393
1974,376094108.475331
1975,474620439.58496
1976,527936988.791275
1977,625573345.532174
1978,793675169.878579
1979,1001300838.32335
1980,1250242107.87969
1981,1243469360.56838
1982,1234518125.0
1983,1165771369.00625
1984,1101828568.76804
1985,1117835285.50512
1986,1435079200.34957
1987,1751247763.41948
1988,2019474244.19359
1989,2118574772.11136
1990,2547163582.33149
1991,2750041434.26295
1992,3021910216.71827
1993,2709178326.78271
1994,2998570146.54095
1995,3720400535.01945
1996,3822882801.33397
1997,3793418418.41842
1998,4010571223.3396
1999,4121350731.81231
2000,4069515579.07114
2001,4088368978.34589
2002,4470446391.44639
2003,5448415500.17071
2004,6098092551.07125
2005,6416184181.07201
2006,6778324049.68009
2007,7925371475.49959
2008,9090406767.24769
2009,8696366907.4743
2010,9035932122.49768
2011,9638916481.06904
2012,9462238211.48657
2013,10551661176.7831
2014,11626281387.0068
2015,11091434483.5238
2016,11668286794.8616
2017,13505056441.5193
2018,15301279478.2071
2019,15719500920.5362
2020,14917038504.285
2021,17189730469.5554
